company_name,country,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment_id,segment_name
Walmart,Espagne,906.8233233233233,1998,99219.63930258155,2,3,3,233,23,at risk
Comcast,Italy,927.9766309639728,2054,101869.96655456349,1,5,4,154,15,can't loose
Wells Fargo,Suisse,900.5041109969168,1946,98229.87851914763,3,1,3,313,31,about to sleep
Alibaba,Italy,176.94426751592357,1884,95354.58666284755,5,1,1,511,51,new customers
Johnson & Johnson,Corse,933.2167586552936,1993,97182.97280372679,1,3,2,132,13,at risk
PetroChina,France,911.9240183579806,1961,98279.6585498415,2,2,3,223,22,hibernating
China Construction Bank,France,931.806484295846,1974,97689.91096810065,1,2,2,122,12,hibernating
JPMorgan Chase,Corse,913.0451807228916,1992,100976.95885518193,2,3,4,234,23,at risk
Pfizer,Corse,363.4851282051282,1950,95934.10994585603,4,1,1,411,41,promising
Agricultural Bank of China,Espagne,369.89950980392155,2040,103749.05106846523,3,5,5,355,35,loyal customers
Toyota Motor,Espagne,902.0360589131539,1969,97361.77687887102,3,2,2,322,32,about to sleep
Intel,France,181.65045302813544,2097,103022.54961138964,5,5,5,555,55,champions
China Mobile,Corse,181.79969803724208,1987,97956.51484309323,5,3,2,532,53,potential loyalists
Tencent Holdings,Espagne,913.8627548483341,2011,99875.98295602202,2,4,3,243,24,at risk
Merck & Co.,United State,184.65232616308154,1999,101069.35404411703,5,3,4,534,53,potential loyalists
Ping An Insurance Group,Italy,365.931157572667,1961,97062.30125711113,4,2,1,421,42,potential loyalists
Nike,Corse,926.4157688540646,2042,103012.42079664115,1,5,5,155,15,can't loose
Procter & Gamble,Espagne,182.61930693069306,2020,100198.55843033269,5,4,3,543,54,champions
PepsiCo,Suisse,361.3088161209068,1985,101254.51858353615,4,3,4,434,43,potential loyalists
Netflix,Italy,930.6977777777778,2025,97724.585682109,1,4,2,142,14,at risk
Chevron,United Kinkdom,181.80079090459714,2023,101126.91857668012,5,4,4,544,54,champions
Oracle,France,358.1368686868687,1980,98991.34733373858,4,2,3,423,42,potential loyalists
AT&T,Suisse,914.5140324963072,2031,101918.5568094477,2,4,4,244,24,at risk
Samsung Electronics,Corse,365.01204238921,2076,106247.88949997257,4,5,5,455,45,loyal customers
ICBC,Suisse,917.1786802030457,1970,96974.71545110643,1,2,1,121,12,hibernating
Citigroup,United State,898.107948969578,2038,102982.96587913553,3,5,5,355,35,loyal customers
Novartis,United Kinkdom,921.6920270974466,1919,96560.92238315195,1,1,1,111,11,hibernating
Visa,Espagne,888.4382935500254,1969,97507.67103282176,3,2,2,322,32,about to sleep
Mastercard,United State,360.27985829959516,1976,97798.26174576022,4,2,2,422,42,potential loyalists
Berkshire Hathaway,Suisse,181.09178013111446,1983,101089.42777982238,5,2,4,524,52,potential loyalists
Home Depot,United Kinkdom,904.2031480570586,2033,103906.05434861407,3,4,5,345,34,loyal customers
Bank of America,Espagne,906.7634716261325,2097,104517.6838735193,3,5,5,355,35,loyal customers
Boeing,France,893.4187530682376,2037,103032.81351970136,3,5,5,355,35,loyal customers
Cisco Systems,Italy,899.0743079164642,2059,106685.24670878798,3,5,5,355,35,loyal customers
Walt Disney,United Kinkdom,363.42997542997546,2035,101665.26802296937,4,4,4,444,44,loyal customers
Kweichow Moutai,France,365.4490186692197,2089,104448.42790744267,4,5,5,455,45,loyal customers
Roche Holding,Italy,908.6751624187906,2001,98798.11252056714,2,3,3,233,23,at risk
ExxonMobil,United Kinkdom,910.4202101050525,1999,97367.702700302,2,3,2,232,23,at risk
Coca-Cola,Italy,928.0265306122449,1960,97413.94505247241,1,1,2,112,11,hibernating
Apple,United State,924.1613545816733,2008,99594.84963669255,1,4,3,143,14,at risk
Taiwan Semiconductor,United Kinkdom,366.3013698630137,1898,96837.09024789557,4,1,1,411,41,promising
Royal Dutch Shell,Suisse,179.9913836796756,1973,100530.01523703337,5,2,3,523,52,potential loyalists
Nestle,United State,180.95449897750512,1956,97401.12732379138,5,1,2,512,51,new customers
Amazon.com,Corse,908.8544813695871,1986,98785.57435692102,2,3,3,233,23,at risk
HSBC Holdings,United State,914.7202046035806,1955,97095.91684263386,2,1,1,211,21,hibernating
Microsoft,United State,916.2147451756556,2021,102149.66963991523,2,4,4,244,24,at risk
Facebook,United Kinkdom,901.2576354679803,2030,102709.20707677305,3,4,4,344,34,loyal customers
Alphabet,Espagne,186.1394992335207,1957,96745.13883913402,4,1,1,411,41,promising
UnitedHealth Group,France,931.6791417165668,2004,96588.24718450895,1,3,1,131,13,at risk
Verizon Communications,Suisse,922.066373840898,2049,102764.0049806973,1,5,5,155,15,can't loose
